city,lat,lon,date,temp,temp,temp,prob_rain,volume_rain,volume_rain,volume_rain,wind_speed,perc_cloud,score_temp,score_rain_prob,score_rain_vol,score_wind,score_cloud,total_score
,,,,mean,min,max,max,mean,max,sum,max,mean,,,,,,
Bormes les Mimosas,43.1506968,6.3419285,2026-08-16,28.6475,24.69,30.78,0.0,0.0,0.0,0.0,22.5,15.0,76.88,100.0,100.0,77.5,85.0,89.314
Bormes les Mimosas,43.1506968,6.3419285,2026-08-17,27.5275,21.18,33.08,0.0,0.0,0.0,0.0,36.54,55.75,67.68,100.0,100.0,63.46,44.25,81.075
Bormes les Mimosas,43.1506968,6.3419285,2026-08-18,26.37875,22.91,29.56,0.0,0.0,0.0,0.0,25.92,19.0,81.76,100.0,100.0,74.08,81.0,90.036
Bormes les Mimosas,43.1506968,6.3419285,2026-08-19,26.5575,22.16,30.53,0.0,0.0,0.0,0.0,22.356,6.375,77.88,100.0,100.0,77.644,93.625,90.4909
Bormes les Mimosas,43.1506968,6.3419285,2026-08-20,26.12625,22.96,30.07,56.00000000000001,0.08249999999999999,0.36,0.6599999999999999,20.340000000000003,65.625,79.72,43.99999999999999,96.7,79.66,34.375,73.1295
Bormes les Mimosas,43.1506968,6.3419285,2026-08-21,25.7775,23.82,29.54,0.0,0.0,0.0,0.0,16.092,89.0,81.84,100.0,100.0,83.908,11.0,84.04279999999999
Carcassonne,43.2130358,2.3491069,2026-08-16,27.1325,24.48,29.37,91.0,0.22749999999999998,0.62,0.9099999999999999,19.008000000000003,85.5,82.52,9.0,95.45,80.99199999999999,14.5,64.7402
Carcassonne,43.2130358,2.3491069,2026-08-17,27.72375,22.67,33.72,70.0,0.0,0.0,0.0,26.676000000000002,61.875,65.12,30.0,100.0,73.324,38.125,66.68090000000001
Carcassonne,43.2130358,2.3491069,2026-08-18,26.49625,19.64,33.67,0.0,0.0,0.0,0.0,23.112000000000002,26.375,65.32,100.0,100.0,76.888,73.625,84.6473
Carcassonne,43.2130358,2.3491069,2026-08-19,25.408749999999998,19.77,34.23,100.0,0.35125,1.57,2.81,19.152,16.375,63.08000000000001,0.0,85.95,80.848,83.625,61.1563
Carcassonne,43.2130358,2.3491069,2026-08-20,24.36125,18.64,31.48,100.0,0.02875,0.23,0.23,20.88,69.625,74.08,0.0,98.85,79.12,30.375,62.8285
Carcassonne,43.2130358,2.3491069,2026-08-21,20.26,17.82,23.28,0.0,0.0,0.0,0.0,19.62,77.0,93.12,100.0,100.0,80.38,23.0,88.274
Cassis,43.2140359,5.5396318,2026-08-16,30.3825,26.68,32.96,0.0,0.0,0.0,0.0,16.992,5.75,68.16,100.0,100.0,83.008,94.25,88.17379999999999
Cassis,43.2140359,5.5396318,2026-08-17,29.665,23.32,35.88,0.0,0.0,0.0,0.0,39.996,62.875,56.47999999999999,100.0,100.0,60.004,37.125,76.6569
Cassis,43.2140359,5.5396318,2026-08-18,28.81375,26.16,30.97,0.0,0.0,0.0,0.0,41.832,26.5,76.12,100.0,100.0,58.168,73.5,86.0028
Cassis,43.2140359,5.5396318,2026-08-19,28.155,26.91,29.79,0.0,0.0,0.0,0.0,17.1,6.25,80.84,100.0,100.0,82.9,93.75,91.917
Cassis,43.2140359,5.5396318,2026-08-20,26.79,25.92,27.76,28.000000000000004,0.0225,0.18,0.18,13.5,81.125,88.96,72.0,99.1,86.5,18.875,81.3555
Cassis,43.2140359,5.5396318,2026-08-21,26.174999999999997,25.54,27.15,0.0,0.0,0.0,0.0,25.236,96.0,91.4,100.0,100.0,74.764,4.0,85.2964
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2026-08-16,27.42,22.88,30.79,0.0,0.0,0.0,0.0,14.724,88.75,76.84,100.0,100.0,85.276,11.25,82.7046
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2026-08-17,20.19125,16.22,26.81,100.0,1.26625,4.4,10.13,9.684,91.625,92.76,0.0,49.349999999999994,90.316,8.375,52.50209999999999
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2026-08-18,20.93875,15.77,27.08,0.0,0.0,0.0,0.0,13.932,87.75,91.68,100.0,100.0,86.068,12.25,87.3358
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2026-08-19,18.29,12.48,25.24,36.0,0.06125,0.27,0.49,26.208000000000002,49.875,99.04,64.0,97.55,73.792,50.125,84.1687
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2026-08-20,18.42,11.85,25.24,0.0,0.0,0.0,0.0,17.316,66.75,99.04,100.0,100.0,82.684,33.25,91.3054
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2026-08-21,15.09,12.4,19.78,0.0,0.0,0.0,0.0,11.196,84.25,79.12,100.0,100.0,88.804,15.75,84.1914
Collioure,42.52505,3.0831554,2026-08-16,26.955,24.35,32.37,100.0,0.8725,2.93,3.49,16.848,88.75,70.52000000000001,0.0,82.55,83.152,11.25,55.3612
Collioure,42.52505,3.0831554,2026-08-17,28.525,23.93,33.3,0.0,0.0,0.0,0.0,26.46,59.25,66.80000000000001,100.0,100.0,73.53999999999999,40.75,81.46900000000001
Collioure,42.52505,3.0831554,2026-08-18,28.65,23.52,33.92,0.0,0.0,0.0,0.0,25.02,13.625,64.32,100.0,100.0,74.98,86.375,85.4315
Collioure,42.52505,3.0831554,2026-08-19,28.3375,24.92,34.01,75.0,0.20125,1.36,1.61,13.428,12.375,63.96000000000001,25.0,91.95,86.572,87.625,69.1927
Collioure,42.52505,3.0831554,2026-08-20,27.24875,23.74,31.43,39.0,0.051250000000000004,0.25,0.41000000000000003,10.224,61.75,74.28,61.0,97.95,89.776,38.25,76.6716
Collioure,42.52505,3.0831554,2026-08-21,23.205,21.56,24.9,100.0,0.7375,1.56,2.95,16.056,97.75,99.6,0.0,85.25,83.944,2.25,64.0744
Colmar,48.0777517,7.3579641,2026-08-16,30.465,25.66,33.81,20.0,0.03,0.12,0.12,16.812,87.0,64.75999999999999,80.0,99.4,83.188,13.0,74.86679999999998
Colmar,48.0777517,7.3579641,2026-08-17,22.41125,17.53,30.05,100.0,1.32375,3.61,10.59,8.856,93.625,79.8,0.0,47.05,91.144,6.375,47.8069
Colmar,48.0777517,7.3579641,2026-08-18,23.59375,17.38,30.25,0.0,0.0,0.0,0.0,13.607999999999999,80.75,79.0,100.0,100.0,86.392,19.25,84.2642
Colmar,48.0777517,7.3579641,2026-08-19,21.91875,15.41,29.02,39.0,0.07125000000000001,0.43,0.5700000000000001,22.824,46.875,83.92,61.0,97.15,77.176,53.125,79.5511
Colmar,48.0777517,7.3579641,2026-08-20,21.14125,14.92,28.02,0.0,0.0,0.0,0.0,16.776,71.875,87.92,100.0,100.0,83.224,28.125,87.5109
Colmar,48.0777517,7.3579641,2026-08-21,18.6325,15.24,23.41,0.0,0.0,0.0,0.0,9.324,77.75,93.64,100.0,100.0,90.676,22.25,89.38459999999999
Dijon,47.3215806,5.0414701,2026-08-16,26.235,21.64,29.47,100.0,0.26,0.84,1.04,15.732000000000001,87.5,82.12,0.0,94.8,84.268,12.5,62.75279999999999
Dijon,47.3215806,5.0414701,2026-08-17,23.88125,20.25,29.18,100.0,0.41500000000000004,1.08,3.3200000000000003,19.188000000000002,89.5,83.28,0.0,83.4,80.812,10.5,59.1352
